"code","iso","country","NDP.raw.2000","NDP.raw.2001","NDP.raw.2002","NDP.raw.2003","NDP.raw.2004","NDP.raw.2005","NDP.raw.2006","NDP.raw.2007","NDP.raw.2008","NDP.raw.2009","NDP.raw.2010","NDP.raw.2011","NDP.raw.2012","NDP.raw.2013","NDP.raw.2014","NDP.raw.2015","NDP.raw.2016","NDP.raw.2017","NDP.raw.2018","NDP.raw.2019","NDP.raw.2020","NDP.raw.2021","NDP.raw.2022"
48,"BHR","Bahrain",6.85930827811684e-07,6.86059839207293e-07,7.72392706902358e-07,7.67099771797455e-07,7.30696825608224e-07,7.28445174244751e-07,7.31219251458061e-07,6.68888606981813e-07,6.55653253093864e-07,5.95191160648199e-07,6.1962105887636e-07,6.03096997963001e-07,6.07377183680167e-07,6.22982341700266e-07,6.12446935248419e-07,5.94651658931301e-07,5.63255988496525e-07,5.62864403219584e-07,5.63421947907002e-07,5.68201591767569e-07,5.76661845358515e-07,6.00711422742975e-07,6.11995519730912e-07
50,"BGD","Bangladesh",5.48789954143684e-07,5.52895362638752e-07,5.57627083846076e-07,5.36983724763212e-07,5.3462170920794e-07,5.4714770340961e-07,5.66505379266552e-07,5.6474466665613e-07,6.11327150810172e-07,5.97790927360495e-07,6.08526901326635e-07,6.28449293711869e-07,6.08189922314027e-07,6.03128716257277e-07,6.18102058767797e-07,6.27257175441931e-07,6.02060644554861e-07,6.13125468636148e-07,6.23152086779329e-07,6.16253795353062e-07,6.21188682651791e-07,6.43613680371326e-07,6.42574515219004e-07
52,"BRB","Barbados",8.53935471194792e-07,7.98863503619379e-07,6.68030249010152e-07,6.87853038702948e-07,8.71492150984153e-07,7.75576394274836e-07,7.58066007210872e-07,7.36800223987268e-07,8.17943404185083e-07,7.45093885481992e-07,7.79000476864778e-07,8.13108470121894e-07,8.25497742553323e-07,8.52400989651996e-07,7.56775846597932e-07,7.62362316286864e-07,7.82346249223934e-07,7.19947562028318e-07,6.75752981894111e-07,7.56656435148833e-07,7.51710943985065e-07,7.7524893314367e-07,7.88254300779378e-07
112,"BLR","Belarus",5.28076748490171e-06,5.29785369443209e-06,5.21005016649861e-06,5.3385056614189e-06,5.45726651994739e-06,5.62918858454363e-06,5.8615768328828e-06,5.84669749971577e-06,6.0663403647256e-06,6.09179803048698e-06,6.07349178117378e-06,1.14145080299479e-05,1.14323991651808e-05,1.13308915791461e-05,1.12186941545841e-05,1.10981034292505e-05,1.08771652291032e-05,1.09948325344284e-05,1.10183673004523e-05,1.1040623336608e-05,1.11940871339214e-05,1.15021792329766e-05,1.15108526164548e-05
56,"BEL","Belgium",3.16059017193025e-06,3.08168806511792e-06,3.38727651838299e-06,3.07436305991837e-06,3.05149044677179e-06,3.06338136034555e-06,3.02428204587087e-06,3.11508888826148e-06,3.05322898573134e-06,2.87130274617878e-06,3.21231001251332e-06,3.15266965892463e-06,3.07915813295697e-06,3.08260107369504e-06,3.04218276345637e-06,3.03347573520985e-06,2.91225584926587e-06,2.87468534502993e-06,2.861629952917e-06,2.84620566838832e-06,2.82529845031513e-06,2.89831269895709e-06,2.70792632315193e-06
84,"BLZ","Belize",1.21045231816178e-06,1.16888351471181e-06,1.96884998066308e-06,2.68183849877651e-06,1.07302445907808e-06,1.23762817654926e-06,1.09791534622431e-06,1.15757488062509e-06,1.06323465425245e-06,1.34958350707099e-06,1.16110845498066e-06,1.5081720469263e-06,1.39144778807271e-06,2.00471150721812e-06,1.98390736089233e-06,1.99515937655438e-06,1.93023388771974e-06,1.72140926038117e-06,1.81120539383248e-06,1.87100836556625e-06,1.85100311201481e-06,1.8323579922556e-06,1.82840166604157e-06
204,"BEN","Benin",1.17318848480492e-06,9.10976518297664e-07,1.03339938746866e-06,9.08710143398639e-07,8.58819890268659e-07,9.98844212084322e-07,8.87817161077286e-07,8.96185729462227e-07,7.91559483337336e-07,8.10028744573189e-07,7.99304657881726e-07,7.98858362515139e-07,7.96878154933485e-07,8.18723547905513e-07,7.99823341727867e-07,7.65587316605479e-07,8.15269156493934e-07,7.66592171843578e-07,8.54222492967948e-07,9.03140683932981e-07,8.5421932539927e-07,8.30967704209352e-07,8.31282337631837e-07
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",9.48558174544922e-07,8.85228617750326e-07,8.81999457231103e-07,8.7295371927132e-07,8.64627356378781e-07,8.98506459145846e-07,8.89700858509343e-07,8.89066245705047e-07,9.14841454061476e-07,8.78628823038708e-07,8.66032804358796e-07,8.85984206490395e-07,8.81930818351372e-07,8.99999862804899e-07,9.15316891127537e-07,9.18907428485323e-07,9.2296078350301e-07,9.33712990381169e-07,9.43450693875837e-07,9.4728187434117e-07,9.15203247612316e-07,9.10627329623942e-07,9.03566339278297e-07
68,"BOL","Bolivia",2.4090339471288e-06,2.3439061413085e-06,2.62904126617324e-06,2.48416263514673e-06,2.74514258954183e-06,2.88993054355861e-06,2.73508558355252e-06,2.67733426477106e-06,2.64154185887426e-06,2.59667464472566e-06,3.13989555201027e-06,2.7702307159719e-06,2.74369265268437e-06,2.69934449676726e-06,2.52817008942119e-06,2.6510166513602e-06,2.75237136770217e-06,2.65838068063815e-06,2.60189947277073e-06,2.79350599011744e-06,2.7898414917626e-06,2.8229710702587e-06,2.83865246631452e-06
70,"BIH","Bosnia and Herzegovina",8.15916350628686e-07,7.58057579956004e-07,7.52665890182236e-07,7.24229442579959e-07,8.95516623781639e-07,9.28120260938569e-07,9.36402037807972e-07,9.10706818274817e-07,1.05239347242171e-06,1.18367610083167e-06,1.18076517781799e-06,1.33844775325115e-06,1.431536365106e-06,1.38767605448868e-06,1.47294870890165e-06,1.54355842425384e-06,1.45361113201834e-06,1.46219782577288e-06,1.40582901413446e-06,1.23485774290024e-06,1.39524778003422e-06,1.16785893242407e-06,1.18755810220793e-06
72,"BWA","Botswana",8.33823107901922e-06,1.12376768657098e-05,1.1419785753678e-05,3.55253787503496e-06,3.85135698475325e-06,4.89748822780135e-06,6.79212569684099e-06,5.01276832418478e-06,1.29525935077616e-05,4.39727339766725e-06,1.48685448523281e-05,1.89312556436463e-05,7.17101256076399e-06,5.95324537563625e-06,3.76928440224104e-06,3.25355472544119e-06,2.5633221335002e-06,4.99616960330413e-06,3.31646004399919e-06,1.90822746071332e-06,3.96638079926108e-06,9.61975689444886e-06,8.51615179432277e-06
76,"BRA","Brazil",2.50748093575322e-06,2.59241975006145e-06,2.65962331921156e-06,2.73778665433918e-06,2.86917571607845e-06,2.8319461989752e-06,2.76452766969669e-06,2.95105154746408e-06,2.82344660857533e-06,2.71954896984642e-06,2.9945991487638e-06,2.95682875615065e-06,2.9503288584062e-06,2.93473534762364e-06,3.02271236581799e-06,2.94851256191846e-06,2.91502093270247e-06,3.03589900211487e-06,2.93576630866242e-06,3.03612835028146e-06,3.15671513705041e-06,3.26138346589535e-06,3.2975173716234e-06
92,"VGB","British Virgin Islands",3.3575407879029e-07,3.34027206273902e-07,3.31172491544532e-07,3.70757892821399e-07,3.8036539731455e-07,3.79622930586883e-07,3.92632487768778e-07,3.87836925886229e-07,4.09726210989853e-07,4.43721342996598e-07,5.00798374219771e-07,5.1140833988985e-07,4.99630554871398e-07,5.12963673796978e-07,5.10855683269476e-07,5.03984199414289e-07,4.90937825750698e-07,4.02528276779774e-07,4.02175704631614e-07,5.03103560927801e-07,5.01455839534131e-07,5.43024227234754e-07,5.59016131608369e-07
96,"BRN","Brunei Darussalam",9.70274851314363e-07,1.00660898963457e-06,9.5837542414588e-07,1.0309423943284e-06,1.06530248764776e-06,9.92591017051296e-07,1.1319499581554e-06,1.16964314002978e-06,1.15714255996339e-06,1.08118910304859e-06,1.08571327574845e-06,1.03609908693768e-06,1.11648312733318e-06,1.1343155972038e-06,1.05122691140893e-06,1.01320007498155e-06,9.97666633802354e-07,9.64497206444236e-07,9.92460980855405e-07,9.56516180875155e-07,1.05948270983078e-06,1.11367325814542e-06,1.10021781640171e-06
100,"BGR","Bulgaria",1.56667448371956e-06,1.69805954245786e-06,1.92671810621219e-06,1.99348529007204e-06,1.94379579258921e-06,1.78875180637819e-06,1.52611056776312e-06,1.68315852782208e-06,1.77509398989211e-06,1.8000003492538e-06,1.77132372915297e-06,2.08210629683378e-06,1.65619839778546e-06,1.81690172832777e-06,1.86878680298751e-06,1.95040645774006e-06,2.0763705939907e-06,2.07746044451718e-06,2.06404606836946e-06,2.12163232083209e-06,2.10556221756082e-06,2.16640836972245e-06,2.32015080361517e-06
854,"BFA","Burkina Faso",1.82615539252747e-06,1.61635767023757e-06,1.66240918397162e-06,1.94158499794829e-06,1.94853821332581e-06,1.96020114258107e-06,1.85802950243507e-06,1.84318381814715e-06,1.82919828147479e-06,1.81469393461556e-06,1.83658774406529e-06,1.78887094597122e-06,1.74713499077817e-06,1.75772753726269e-06,1.71713105705597e-06,1.68821283918987e-06,1.72239389093864e-06,1.68381927315672e-06,1.65745398493374e-06,1.61801184146023e-06,1.63548816022729e-06,1.61533469350246e-06,1.60537982183989e-06
108,"BDI","Burundi",4.2488029235569e-07,4.26866019284136e-07,4.10591887005113e-07,4.0228275055292e-07,4.05870602272651e-07,4.08722628102739e-07,4.13935930030464e-07,4.07823720462517e-07,4.10721820647687e-07,4.13348112824745e-07,4.26226400726228e-07,4.3782962145822e-07,4.25706593827622e-07,4.64058748458187e-07,4.48788856086754e-07,4.3254740216132e-07,4.69581440600653e-07,5.22607807581363e-07,5.22905524109686e-07,4.64006330023197e-07,4.57438311088657e-07,4.63700201725522e-07,4.63940784398184e-07
132,"CPV","Cabo Verde",6.4811642527785e-07,5.96620296249877e-07,5.7688528435373e-07,5.49898039738465e-07,5.65165655191406e-07,5.70179799402224e-07,5.51230346132568e-07,5.36917538579804e-07,5.23184725357412e-07,5.46895302518433e-07,5.58314083328857e-07,5.66802079917198e-07,5.48828915229347e-07,5.50061117901989e-07,5.548678205964e-07,5.61425368458036e-07,5.71281210041655e-07,5.00925739086722e-07,4.97197138665481e-07,5.02573523040396e-07,5.18330358368804e-07,5.28979036441723e-07,5.24320196105869e-07
116,"KHM","Cambodia",9.65438856735558e-07,9.23960333896571e-07,9.47318051049935e-07,9.69681045316167e-07,9.75694377488165e-07,9.36090461970457e-07,1.01648795398708e-06,1.02808712141512e-06,1.01836733054654e-06,1.06670509630722e-06,1.03734930934815e-06,1.06354619924612e-06,1.00766637992133e-06,9.86687518662894e-07,9.79566054867401e-07,1.03129406714684e-06,9.60025559720502e-07,1.08018040149737e-06,1.09826762011272e-06,1.05505108483314e-06,1.03068514337501e-06,1.04285828044243e-06,1.01980922768714e-06
120,"CMR","Cameroon",1.49752239557995e-06,1.34251986977815e-06,1.31330631273669e-06,1.41858490530273e-06,1.23740236642494e-06,1.36033385718729e-06,1.20554326821541e-06,1.13960950622802e-06,1.07577956339433e-06,1.02488323318982e-06,1.04135036278232e-06,9.97609990535909e-07,9.60409998077278e-07,9.61500680677766e-07,9.19299619253004e-07,9.03850865302495e-07,9.10945388402231e-07,8.77294355336436e-07,8.61355741237091e-07,8.37782728884084e-07,8.45567416693773e-07,8.1254098552324e-07,7.98866941581977e-07
124,"CAN","Canada",4.62755815162292e-06,4.41637706086045e-06,4.46427446818613e-06,4.48741860549485e-06,4.38312864905244e-06,4.46598136389396e-06,4.14476923674903e-06,4.49998137676626e-06,4.33120248197152e-06,4.10361387134487e-06,4.1758701226756e-06,4.39729047697148e-06,4.52264204567223e-06,4.44660389772195e-06,4.34568698327066e-06,4.31337413747922e-06,4.18172653629779e-06,4.18659220041704e-06,4.31673107769026e-06,4.12220557678565e-06,4.28866493229198e-06,4.10709869368625e-06,4.18701285197173e-06
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",9.57658206465789e-06,7.62073599663751e-06,6.51292102472671e-06,8.61717659078171e-06,7.21725492559423e-06,7.48425811044104e-06,7.45164811827256e-06,7.33618873339673e-06,7.76767184518918e-06,5.84943937395663e-06,6.54497027617843e-06,6.8047020914104e-06,5.61455729006269e-06,6.01778933489477e-06,5.83487228089742e-06,5.95518093478911e-06,6.46387762921281e-06,5.66369159418109e-06,5.69210054212351e-06,4.99105066223564e-06,5.27791398871799e-06,5.18585328543046e-06,5.12623441875671e-06
148,"TCD","Chad",5.32743312043377e-06,4.35658202249402e-06,4.57097910259234e-06,4.6322645270969e-06,4.6081017502153e-06,4.71763552107684e-06,4.64998986070676e-06,4.75625099613149e-06,4.69425869636201e-06,4.59285074070156e-06,4.75000393031299e-06,4.81419872005637e-06,4.90007531219752e-06,4.87259893986169e-06,4.90613870384196e-06,5.11305509355759e-06,5.331474855209e-06,5.28308450469326e-06,5.44724789015272e-06,5.42572871877276e-06,5.64143507294003e-06,5.66946880453371e-06,5.75513102373907e-06
152,"CHL","Chile",1.56333469452017e-06,1.55243713950123e-06,1.57387093875985e-06,1.53224215832513e-06,1.66063531412166e-06,1.59502342798849e-06,1.62232564973377e-06,1.74592668635603e-06,1.8905903935681e-06,1.63365233513968e-06,1.64665568347326e-06,1.57218302795813e-06,1.62036507113374e-06,1.57053785210388e-06,1.49826642094344e-06,1.52768945531659e-06,1.45433399548847e-06,1.38824036287623e-06,1.35818345636301e-06,1.376087641026e-06,1.32122195933072e-06,1.344059544095e-06,1.36198549531357e-06
156,"CHN","China",1.06126425083852e-06,1.05358336281794e-06,1.10121836925961e-06,1.10990375659733e-06,1.14962482881006e-06,1.18123523455957e-06,1.20516849475981e-06,1.22165439321337e-06,1.23050907594808e-06,1.17182218349534e-06,1.18112737860739e-06,1.18956012297078e-06,1.2036715675053e-06,1.20301634341715e-06,1.20274663595411e-06,1.21026770831824e-06,1.20335209217533e-06,1.18892863921387e-06,1.16912372750863e-06,1.09394812270688e-06,1.09134717596202e-06,1.11161460250928e-06,1.09759767734169e-06
170,"COL","Colombia",1.57082208183142e-06,1.58642999909006e-06,1.58204184747881e-06,1.61967234052907e-06,1.6183145959395e-06,1.5513629019155e-06,1.54069479958226e-06,1.62561894171191e-06,1.56338036430323e-06,1.53225001527173e-06,1.56640108061146e-06,1.49418770912972e-06,1.40446931842851e-06,1.35386683616676e-06,1.39466288009625e-06,1.33701960249007e-06,1.34380507435494e-06,1.39809025421272e-06,1.44489429857495e-06,1.46052577413545e-06,1.50596903688391e-06,1.50048832839427e-06,1.50557049516729e-06
