"code","iso","country","WGI.raw.2016","WGI.raw.2017","WGI.raw.2018","WGI.raw.2019","WGI.raw.2020","WGI.raw.2021","WGI.raw.2022"
4,"AFG","Afghanistan",2678.43625428062,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",88.4689816770068,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",948.314329733424,990.77371777608,1035.10920612108,1079.87423445816,989.946697253282,1003.67945482258,NA
20,"AND","Andorra",0.744545165204756,0.757266857360547,0.763394604752554,0.724349191795356,0.777440158132095,0.70980236365058,NA
24,"AGO","Angola",562.725124791611,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1.50906260871495,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,854.623035596227,967.573655047195,893.206037198128,NA
51,"ARM","Armenia",49.8274346741841,43.0551296567536,37.9422236017797,34.5061683834406,44.2387510531631,35.6600099437251,NA
533,"ABW","Aruba",2.37913656291736,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",270.619533585561,260.439627834485,257.711555164083,254.596209675602,NA,NA,NA
40,"AUT","Austria",92.378507806473,92.6291921019777,92.7064751219111,93.5375946520997,143.070333674939,NA,NA
31,"AZE","Azerbaijan",172.139526673905,171.962415904812,190.413686223918,215.728674304553,265.696115394273,275.737529705982,NA
44,"BHS","Bahamas",7.8758664824995,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",37.2295713491541,43.7776161658823,37.1643817562971,27.5798116345546,29.1225407499279,33.1639653264133,NA
50,"BGD","Bangladesh",NA,NA,NA,1463.9332729553,1287.55906608928,1254.24170183911,NA
52,"BRB","Barbados",7.20863141284051,8.13074125956537,9.12466889182551,15.6883720380808,15.8149730683584,19.0308084366884,NA
112,"BLR","Belarus",281.745735883633,231.388042473052,221.996113827613,205.471435721659,211.564165227753,199.781685393602,NA
56,"BEL","Belgium",97.4462531268326,94.7623609340801,93.6180455241275,94.0511208181113,175.601644380134,173.634773731785,NA
84,"BLZ","Belize",11.0097280423145,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,85.3198326406979,251.99058887469,284.530541901976
60,"BMU","Bermuda",1.14908185594153,1.16942687787492,1.15200286725621,1.05776412331374,NA,NA,NA
64,"BTN","Bhutan",NA,10.5778788510852,NA,8.96865326850039,NA,NA,NA
68,"BOL","Bolivia",329.431214302384,346.490140000927,356.221479407347,336.691097203592,375.457837375729,351.360728588972,NA
70,"BIH","Bosnia and Herzegovina",96.0506726306508,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,33.494764611711,NA,NA,NA,NA,NA
76,"BRA","Brazil",5489.99249398982,NA,NA,NA,NA,NA,NA
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,2.76600339131712,NA,NA,NA
100,"BGR","Bulgaria",138.904830137006,143.456179604478,128.883174213129,132.381622278464,125.847530516646,NA,NA
854,"BFA","Burkina Faso",1343.5463862159,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",2449.20365533467,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",19.2093077393125,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",289.480506649191,NA,NA,NA,NA,NA,NA
120,"CMR","Cameroon",891.826784840511,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",528.957253453303,NA,NA,NA,NA,NA,NA
136,"CYM","Cayman Islands",0.871783528005498,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",1351.40324046486,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",807.168527642677,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",293.855031188126,330.876317996629,326.158712468843,NA,NA,NA,NA
156,"CHN","China",16166.490132826,16073.663109843,16028.3078272662,16116.9465721088,15348.2520362741,NA,NA
170,"COL","Colombia",1500.85463392723,NA,NA,NA,NA,NA,NA
174,"COM","Comoros",28.5698620391992,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",74.6665619222535,NA,NA,NA,NA,NA,NA
384,"CIV","Cote d'Ivoire",961.142571697006,NA,NA,NA,NA,NA,NA
191,"HRV","Croatia",69.6297808089966,NA,NA,NA,NA,NA,NA
192,"CUB","Cuba",577.632258806057,623.345398248882,621.269796150317,595.728086483575,576.505184564811,518.904020951495,NA
531,"CUW","Curacao",0.983678949356234,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",29.5167726957868,NA,NA,NA,NA,NA,NA
203,"CZE","Czech Republic",96.7176533035057,133.342303809225,131.392867155981,130.227753142123,150.465918258356,147.038835612931,NA
180,"COD","Dem. Rep. Congo",14084.8359302673,NA,NA,NA,NA,NA,NA
208,"DNK","Denmark",87.7918105681167,85.4097451900148,83.9284948996309,86.369611290856,85.448845030736,79.3786977474864,NA
262,"DJI","Djibouti",26.7977813984833,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",1.61482159637139,1.73737697964179,1.73005977920845,1.69417407424567,2.04762962318625,1.92670899368361,NA
214,"DOM","Dominican Republic",254.51609671495,NA,NA,NA,NA,NA,NA
218,"ECU","Ecuador",358.800438293817,412.678571578959,420.466444452004,426.63628918782,477.536636562312,NA,NA
818,"EGY","Egypt",1950.61619391103,NA,NA,NA,NA,NA,NA
222,"SLV","El Salvador",203.447942348138,214.881788476726,215.444347085184,222.834582118181,NA,NA,NA
226,"GNQ","Equatorial Guinea",9.20163846157958,NA,NA,NA,NA,NA,NA
232,"ERI","Eritrea",419.532390047848,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",15.4331910739538,15.1972390635096,15.2945121044579,13.5533467666653,14.1848852211807,13.559691102464,NA
748,"SWZ","Eswatini",26.8942470253208,NA,NA,NA,NA,NA,NA
231,"ETH","Ethiopia",3503.79736028785,NA,NA,NA,NA,NA,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",13.1844213386111,12.8690395319301,12.9492753332938,13.0718635368403,15.2911359844747,16.1321717514178,NA
246,"FIN","Finland",59.9046185854599,59.1127202752861,63.2901847517746,64.2811704223313,71.1402444961275,69.3034672229256,NA
250,"FRA","France",844.52858915088,838.463854823965,826.567524166157,814.96314936356,861.586941565846,845.260794884221,NA
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",16.1064095117803,NA,NA,NA,NA,NA,NA
270,"GMB","Gambia",102.396192262403,NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",84.5672471650783,83.2157253949839,81.9347333585769,77.2943008258207,79.1921011110625,NA,NA
276,"DEU","Germany",1004.88298004872,975.854146900092,940.645513892453,939.445790614056,1028.58142139275,1010.68727507935,NA
288,"GHA","Ghana",1052.28388605428,1020.04954313422,NA,NA,NA,NA,NA
300,"GRC","Greece",190.050118797334,189.30348975679,189.525649427279,188.852642148331,NA,NA,NA
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",2.05806587137334,NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",335.940147537978,NA,NA,NA,NA,NA,NA
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",269.22939619071,NA,NA,NA,NA,NA,NA
624,"GNB","Guinea-Bissau",159.837599959395,NA,NA,NA,NA,NA,NA
328,"GUY","Guyana",15.166185923055,NA,NA,NA,NA,NA,NA
332,"HTI","Haiti",729.743025544982,NA,NA,NA,NA,NA,NA
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",408.913241917867,NA,NA,NA,NA,NA,NA
344,"HKG","Hong Kong",97.7620032903883,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",131.970545970944,127.822119441741,119.908903906041,115.858246688857,125.939654389875,120.299570800718,NA
352,"ISL","Iceland",4.0244567027144,4.04396294135146,4.34732358494702,NA,4.35697007638841,NA,NA
356,"IND","India",33162.4656531938,31413.270011438,29831.4828745505,29015.6009947235,31108.017084156,NA,NA
360,"IDN","Indonesia",6198.13396566321,NA,NA,NA,NA,NA,NA
364,"IRN","Iran",1194.83491566461,NA,NA,NA,NA,NA,NA
368,"IRQ","Iraq",2187.93220682765,3298.91152078086,2854.01129975884,2645.04344306936,3448.46015002746,NA,NA
372,"IRL","Ireland",38.2103229351151,35.5014575122654,34.8427056035813,35.5014991657989,35.1369363372849,NA,NA
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",136.408921057605,137.767030782145,140.505250135912,139.954486081896,150.603067486938,145.061023487651,NA
380,"ITA","Italy",737.357203138696,711.188141102782,717.429870621916,702.47233062129,740.4440750804,NA,NA
388,"JAM","Jamaica",NA,101.422021994129,NA,NA,NA,NA,NA
392,"JPN","Japan",1059.95956071872,1034.981582582,1023.06253402416,1025.99182699414,1041.99647637791,NA,NA
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",262.635785978283,NA,NA,NA,NA,NA,NA
398,"KAZ","Kazakhstan",183.049110644128,199.931420667643,180.685637461159,163.833302000878,179.628557862864,187.12196385442,NA
404,"KEN","Kenya",420.066432649628,403.355167794565,411.253867352461,476.884633702333,691.40516726558,727.0888978011,NA
296,"KIR","Kiribati",17.8810689769481,NA,NA,NA,NA,NA,NA
689,"XKX","Kosovo",31.8012755797189,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",35.9370306355219,42.1702235381955,46.4170711124643,54.701281057902,60.0829227987683,65.6265164617741,NA
417,"KGZ","Kyrgyzstan",443.233725252625,492.400333394473,NA,NA,NA,NA,NA
418,"LAO","Laos",51.367906574294,NA,NA,NA,NA,NA,NA
428,"LVA","Latvia",34.558722840418,32.9901774981033,30.9648042879355,32.0803783601261,35.2495159826035,32.1104274234433,NA
422,"LBN","Lebanon",118.415300412995,NA,NA,NA,NA,NA,NA
426,"LSO","Lesotho",27.3263846369966,NA,NA,NA,NA,NA,NA
430,"LBR","Liberia",370.030964501226,NA,NA,NA,NA,NA,NA
434,"LBY","Libya",115.745437325148,NA,NA,NA,NA,NA,NA
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",40.3712435500445,38.5959122533607,37.1901764506826,35.9426622887021,36.8053826676237,34.673418785546,NA
442,"LUX","Luxembourg",4.07623769538769,4.13964006997566,4.27453485452591,4.28661861879181,4.45632340977832,4.39129199608281,NA
446,"MAC","Macao",3.31697789527549,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",2465.55905300745,NA,NA,NA,NA,NA,NA
454,"MWI","Malawi",903.136009503686,NA,NA,NA,NA,NA,NA
458,"MYS","Malaysia",543.411116787172,527.170867467969,510.020977503695,499.740371116908,535.636024386873,531.003515357425,NA
462,"MDV","Maldives",11.4909647083313,NA,NA,NA,NA,NA,NA
466,"MLI","Mali",917.226727925284,NA,NA,NA,NA,NA,NA
470,"MLT","Malta",8.65341800168023,NA,NA,NA,NA,NA,NA
584,"MHL","Marshall Islands",1.96835424379645,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",89.3558457741918,NA,NA,NA,NA,NA,NA
480,"MUS","Mauritius",22.6506070322535,22.4319406942992,23.5982636962269,22.6880223311721,24.9801060431379,23.9771789827776,NA
484,"MEX","Mexico",2677.6310044145,NA,NA,NA,NA,NA,NA
583,"FSM","Micronesia",7.55624248573475,NA,NA,NA,NA,NA,NA
498,"MDA","Moldova",NA,NA,NA,NA,121.158653138968,116.265454484966,NA
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",NA,NA,154.219605739304,160.02544962345,146.767149449477,159.155939019933,NA
