"code","iso","country","NDG.raw.2000","NDG.raw.2001","NDG.raw.2002","NDG.raw.2003","NDG.raw.2004","NDG.raw.2005","NDG.raw.2006","NDG.raw.2007","NDG.raw.2008","NDG.raw.2009","NDG.raw.2010","NDG.raw.2011","NDG.raw.2012","NDG.raw.2013","NDG.raw.2014","NDG.raw.2015","NDG.raw.2016","NDG.raw.2017","NDG.raw.2018","NDG.raw.2019","NDG.raw.2020","NDG.raw.2021","NDG.raw.2022"
48,"BHR","Bahrain",1.48617755522043e-11,1.48868595608718e-11,1.66183848941294e-11,1.61479195943222e-11,1.53976004713295e-11,1.55580784502854e-11,1.57918830438656e-11,1.42948819461064e-11,1.40732423937737e-11,1.32344857517063e-11,1.3588161375881e-11,1.29518037696698e-11,1.27083555313097e-11,1.27358804557057e-11,1.24688928557311e-11,1.22725682806847e-11,1.16168063264166e-11,1.15035921636637e-11,1.15130544397704e-11,1.14167828030446e-11,1.2015186639116e-11,1.20736191338204e-11,1.18021187380103e-11
50,"BGD","Bangladesh",2.42069569824676e-10,2.36546479120067e-10,2.34072711620259e-10,2.18999128815723e-10,2.10650942199184e-10,2.05455473857082e-10,2.01848091872918e-10,1.8993986943875e-10,1.95673102651335e-10,1.83760880194852e-10,1.79222834492128e-10,1.75984030458085e-10,1.61884732871378e-10,1.53362178325798e-10,1.5004572552349e-10,1.44616409422913e-10,1.31193805571835e-10,1.26920697242468e-10,1.21602544292052e-10,1.12718200835988e-10,1.11097684986655e-10,1.08883820891695e-10,1.02598441364823e-10
52,"BRB","Barbados",5.50289165481143e-11,5.28706826947642e-11,4.40446142761586e-11,4.45598727334693e-11,5.58797362085315e-11,4.80106384713777e-11,4.43790130694426e-11,4.24153559300534e-11,4.69923248628975e-11,4.52595005912102e-11,4.86282415666317e-11,5.12530973786545e-11,5.23950336344041e-11,5.50299633082649e-11,4.9010107899584e-11,4.82830153981921e-11,4.84229504503668e-11,4.44440548041205e-11,4.22243815304093e-11,4.74249949087004e-11,5.44490117813395e-11,5.63620551784374e-11,5.2178859595226e-11
112,"BLR","Belarus",6.55737481609573e-10,6.24961838737939e-10,5.81372363414793e-10,5.52629290109303e-10,5.03439931734522e-10,4.71448990813556e-10,4.43559148304371e-10,4.05531974817457e-10,3.80504275259153e-10,3.80401801392067e-10,3.51054630799305e-10,6.24630391355107e-10,6.14266876591618e-10,6.02532977590221e-10,5.86772896100549e-10,6.04383140685484e-10,6.08234047474054e-10,5.9897542861071e-10,5.80685915645856e-10,5.72407717056315e-10,5.81826773775255e-10,5.78793197537493e-10,6.01645930307654e-10
56,"BEL","Belgium",7.34608565919986e-11,7.10919982791724e-11,7.71754467754724e-11,6.9617291863283e-11,6.70061300132827e-11,6.61035135473887e-11,6.40567024412257e-11,6.41091420103917e-11,6.30526089486964e-11,6.10074483487239e-11,6.69614064850292e-11,6.54693820975639e-11,6.38684728578153e-11,6.39482951461329e-11,6.24055147914879e-11,6.13363654086916e-11,5.84439111569318e-11,5.69896103831907e-11,5.59858153972522e-11,5.47476596695274e-11,5.76729998008393e-11,5.59266023686684e-11,5.09430893324452e-11
84,"BLZ","Belize",1.39099152087225e-10,1.31967333018011e-10,2.18193780715098e-10,2.80349321990232e-10,1.1050699337538e-10,1.28496745563596e-10,1.12240892286211e-10,1.17938708482264e-10,1.13144351166893e-10,1.48280635777779e-10,1.29171862895182e-10,1.71834970261455e-10,1.56130080423059e-10,2.20066483360395e-10,2.13867981368601e-10,2.12524237152776e-10,2.09623154054618e-10,1.93988841193241e-10,2.05852981009654e-10,2.07232396991909e-10,2.40292710322281e-10,2.09119800417503e-10,1.88535191645706e-10
204,"BEN","Benin",4.82506563037501e-10,3.66572958287546e-10,4.09492512145467e-10,3.58748798812057e-10,3.34647005905369e-10,3.95006723733448e-10,3.48273617179173e-10,3.41376418964588e-10,2.96046285268914e-10,3.0493114590997e-10,3.03441069033239e-10,3.03294170613922e-10,2.97192705615164e-10,2.93236225879379e-10,2.77340959124112e-10,2.68644048569508e-10,2.85119789866123e-10,2.61293340912959e-10,2.80978757686156e-10,2.86126453340863e-10,2.68075631423967e-10,2.50174514974927e-10,2.41991486721788e-10
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",2.3204438995089e-10,2.0532054578141e-10,1.89143323430331e-10,1.77989961328706e-10,1.70325776600256e-10,1.68361276949927e-10,1.58139389922348e-10,1.35169208446559e-10,1.34299828551029e-10,1.22220897557558e-10,1.0882233184784e-10,1.04241354776391e-10,9.97932895954812e-11,1.00794624893095e-10,9.79048609977617e-11,9.30327450750334e-11,8.7173992774454e-11,8.49842993602263e-11,8.39833652137941e-11,8.0296605417834e-11,8.677337426073e-11,8.34836167972205e-11,NA
68,"BOL","Bolivia",4.54053302514131e-10,4.42220213980655e-10,4.92535892090248e-10,4.61090474220741e-10,4.97700124769505e-10,5.10536586071011e-10,4.69190488521425e-10,4.46990461506075e-10,4.227187992041e-10,4.08989038908969e-10,4.83074368526103e-10,4.11973058738756e-10,3.94620436501546e-10,3.69508590465658e-10,3.33461355618662e-10,3.38754876882337e-10,3.42583046447184e-10,3.2242597203839e-10,3.07324517525334e-10,3.27539953918631e-10,3.63263770804838e-10,3.50584806505966e-10,3.4612716114322e-10
70,"BIH","Bosnia and Herzegovina",1.19530591447297e-10,1.08831092590719e-10,1.02969867663138e-10,9.50577503700956e-11,1.09466777800318e-10,1.07916603965536e-10,1.02374068254661e-10,9.28921745855629e-11,1.00164351932247e-10,1.14215748669969e-10,1.11015199728008e-10,1.22422266943399e-10,1.29596231599956e-10,1.20843447748361e-10,1.25176473628437e-10,1.241052472746e-10,1.11810934873818e-10,1.07655568851338e-10,9.85335245845538e-11,8.31461730069123e-11,9.56469255762141e-11,7.34823202659369e-11,7.1096548643646e-11
72,"BWA","Botswana",7.27462319309648e-10,9.97760561004617e-10,9.73922403291685e-10,2.94697198143074e-10,3.16555067883059e-10,3.91980389983218e-10,5.11177101610783e-10,3.63682079262674e-10,9.2879432845909e-10,3.74887995269246e-10,1.17506588171226e-09,1.4287468629154e-09,5.52638797117337e-10,4.20887091627063e-10,2.57021086269209e-10,2.37785932341631e-10,1.78336423144502e-10,3.40877873127251e-10,2.21657643055285e-10,1.26222293811987e-10,2.9282516893739e-10,6.45314385664435e-10,5.48790785014324e-10
76,"BRA","Brazil",2.17484179430436e-10,2.24717232204385e-10,2.26554688053808e-10,2.33332541427757e-10,2.33862118584307e-10,2.26178340158032e-10,2.14679840999524e-10,2.1829164706894e-10,2.00700702589518e-10,1.95412528278004e-10,2.02000096836058e-10,1.93617829957015e-10,1.91264917701614e-10,1.86314842724125e-10,1.92582893593782e-10,1.96415907785336e-10,2.02396955071368e-10,2.09692498156906e-10,2.00810425038004e-10,2.06748512679881e-10,2.23725580667115e-10,2.21327092063276e-10,2.1847318333117e-10
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",1.40893597438983e-11,1.45172289847331e-11,1.35685969271052e-11,1.44527837170393e-11,1.51288229879348e-11,1.42855060914763e-11,1.58641090076157e-11,1.66278515562695e-11,1.70333186384627e-11,1.64430890159153e-11,1.63303852249738e-11,1.52283481463209e-11,1.64690627116682e-11,1.73086302169141e-11,1.66514677433485e-11,1.62972278710681e-11,1.6633047481711e-11,1.60287236275053e-11,1.6638007186965e-11,1.55722601539163e-11,1.71984032739967e-11,1.85220087379125e-11,1.87526790056945e-11
100,"BGR","Bulgaria",1.49155489268276e-10,1.52641161656378e-10,1.60076975505339e-10,1.56140125904609e-10,1.41867188769264e-10,1.21031620639981e-10,9.59521009916121e-11,9.85548796675033e-11,9.72624281376671e-11,1.01308387398415e-10,9.75364704639394e-11,1.11572277956277e-10,8.75757635106955e-11,9.60756950301529e-11,9.73182931146337e-11,9.75776586202704e-11,1.00110345248092e-10,9.67612138473554e-11,9.29492693967802e-11,9.11899767890179e-11,9.36655374440376e-11,8.88098837609706e-11,8.64984903617892e-11
854,"BFA","Burkina Faso",1.44161268200337e-09,1.23379280581672e-09,1.25398271343268e-09,1.40140598596297e-09,1.38905041483245e-09,1.32711462023757e-09,1.22146012011526e-09,1.19968812624853e-09,1.15893377186342e-09,1.1498876245979e-09,1.10513187562402e-09,1.03999135087567e-09,9.83530649097243e-10,9.63880457592148e-10,9.29865209165691e-10,9.06250406132031e-10,8.98598229440605e-10,8.51206939431443e-10,8.0803387888937e-10,7.66807611736909e-10,7.81134774395672e-10,7.41050929630666e-10,7.44566956264268e-10
108,"BDI","Burundi",5.07411594200541e-10,5.12031822351859e-10,4.84904869894625e-10,4.96306941652104e-10,4.9572220311052e-10,5.13400521047729e-10,5.11223872397233e-10,5.05077705038425e-10,5.05446441553163e-10,5.1552300566313e-10,5.29898405671615e-10,5.42093125802752e-10,5.22775064948728e-10,5.62761128721421e-10,5.39867247149707e-10,5.53427411925522e-10,6.14364717393677e-10,6.96079418806958e-10,7.06201336161074e-10,6.35922632017188e-10,6.43051840071277e-10,6.49379383869594e-10,6.55118595245822e-10
132,"CPV","Cabo Verde",1.52292094378565e-10,1.3943773402617e-10,1.3009852884933e-10,1.2076606244363e-10,1.14157280891032e-10,1.09106073694747e-10,9.8881920843386e-11,8.46080196942202e-11,7.78773942567719e-11,8.350814616465e-11,8.46193341095442e-11,8.36621357479282e-11,8.11044101921769e-11,8.16952121942782e-11,8.27689963698278e-11,8.38958638766335e-11,8.27876471606276e-11,7.02476489346578e-11,6.79760266110771e-11,6.44877988496219e-11,8.32200849925717e-11,8.02351931826478e-11,6.81610256181988e-11
116,"KHM","Cambodia",6.49642847222596e-10,5.85293374367162e-10,5.73250343126915e-10,5.5051063256151e-10,5.10990335498835e-10,4.40546856297644e-10,4.39404584786395e-10,4.10328785250551e-10,3.87321031575551e-10,4.11512778595273e-10,3.8321109925816e-10,3.72320930113785e-10,3.33517239004472e-10,3.0857783055527e-10,2.89952735598208e-10,2.89263163610257e-10,2.55196221693355e-10,2.7189916966935e-10,2.60399740551927e-10,2.36330980566497e-10,2.41029154372749e-10,2.39486201501352e-10,2.25097030722237e-10
120,"CMR","Cameroon",5.09709509231591e-10,4.49668342988581e-10,4.32468480139543e-10,4.55235987189379e-10,3.81267580468614e-10,4.21369787802272e-10,3.69633953092315e-10,3.44367571141359e-10,3.25173983572853e-10,3.10720627488482e-10,3.15692294699157e-10,3.00947395686251e-10,2.84821164561644e-10,2.79327321363498e-10,2.60403930647805e-10,2.50044798679077e-10,2.48395210673121e-10,2.37678634935792e-10,2.30771722252944e-10,2.23021588294363e-10,2.30682028596665e-10,2.19578118322556e-10,2.13987983489771e-10
124,"CAN","Canada",1.11942661055587e-10,1.06101824182707e-10,1.05248761021405e-10,1.04863185446487e-10,1.00290296952237e-10,9.99530383259064e-11,9.13008321277784e-11,9.80611094980881e-11,9.4462136210654e-11,9.32548081953327e-11,9.30816966540071e-11,9.59621743689126e-11,9.80486419775743e-11,9.52066488486621e-11,9.13638746248321e-11,9.07655689939465e-11,8.81150295750255e-11,8.66481170826869e-11,8.81640583664035e-11,8.38261072153315e-11,9.28649137535274e-11,8.5177639678949e-11,8.55281278714454e-11
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",9.50767203196114e-09,7.40746466045027e-09,6.24615616146004e-09,8.94951841823549e-09,7.22672844635975e-09,7.59572679909306e-09,7.36490784593915e-09,7.06251532763126e-09,7.48088979407055e-09,5.30098001772018e-09,5.78742162465681e-09,5.86402589387348e-09,4.64582873233275e-09,7.87615668963694e-09,7.6246970724188e-09,7.49044484078393e-09,7.89822734534483e-09,6.74570215628847e-09,6.66017346336829e-09,5.79164888616929e-09,6.22568036117486e-09,6.19202898063658e-09,6.25766886382354e-09
148,"TCD","Chad",5.86829307411948e-09,4.44336193590795e-09,4.44790561983618e-09,4.08825849925077e-09,3.18148989720397e-09,2.88901882507164e-09,2.9312248338808e-09,3.00325207591952e-09,2.97714504636171e-09,2.89504105785277e-09,2.72823469970014e-09,2.86106828966489e-09,2.7694604057998e-09,2.69976534091024e-09,2.63531041795243e-09,2.75895278951735e-09,3.16694045006039e-09,3.34423108355808e-09,3.48391098879715e-09,3.4735853245117e-09,3.78826578749343e-09,3.97719440867841e-09,4.07393665660905e-09
152,"CHL","Chile",1.01411495381912e-10,9.87203683828486e-11,9.80381711912257e-11,9.21003815843164e-11,9.45098725442923e-11,8.66118944832745e-11,8.3886692410166e-11,8.66872280251747e-11,9.13524523931233e-11,8.06538814048551e-11,7.7580571317647e-11,7.04265602109134e-11,6.9045787455362e-11,6.54074880426235e-11,6.19190425431417e-11,6.24445263561866e-11,5.91207710433089e-11,5.65545816546965e-11,5.41713462957933e-11,5.54653507526834e-11,5.75180800764348e-11,5.28891770657905e-11,5.26145063060653e-11
156,"CHN","China",3.07463173671852e-10,2.83805872541476e-10,2.73638428675742e-10,2.52203555092543e-10,2.3864942334144e-10,2.21427081193976e-10,2.01540549946252e-10,1.79782650302652e-10,1.65996213561673e-10,1.45218823066989e-10,1.32941153203296e-10,1.22887202163042e-10,1.160643431476e-10,1.08360922448154e-10,1.01485580431897e-10,9.59589251699206e-11,8.98081767066095e-11,8.34714724006236e-11,7.72514910801297e-11,6.84669102938337e-11,6.69677446751895e-11,6.29542633948334e-11,6.03474247034166e-11
170,"COL","Colombia",1.71893987988372e-10,1.73448477823038e-10,1.7135337318372e-10,1.71333549973654e-10,1.64860313024065e-10,1.52832976162834e-10,1.44088098901665e-10,1.44210041804175e-10,1.35857211012323e-10,1.3314978116536e-10,1.31738799618395e-10,1.18793596181521e-10,1.0857928388542e-10,1.00546549631372e-10,1.00060246411722e-10,9.40524003325631e-11,9.35916792404914e-11,9.75304208228177e-11,1.00156023331978e-10,9.99255796233154e-11,1.127365947024e-10,1.0234407640552e-10,9.61928634176178e-11
174,"COM","Comoros",1.22330553686853e-10,1.23356917993415e-10,1.22418340287572e-10,1.13201190701845e-10,1.12860479102863e-10,1.15553059641214e-10,1.14270379497954e-10,1.12241013957379e-10,1.11199612112477e-10,1.0770904134169e-10,1.07314948854208e-10,1.04980383826028e-10,1.02694172665568e-10,1.00099188019935e-10,9.89131766424571e-11,9.9095051173845e-11,9.75930362270195e-11,9.68423781836222e-11,9.42208270661011e-11,9.45114766055052e-11,9.46966623938996e-11,9.42457901120425e-11,9.27843641328697e-11
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",1.02956293254576e-10,8.88587510203538e-11,8.46153506950191e-11,8.8633993620424e-11,7.8534010890935e-11,7.93234304200308e-11,7.57522562431681e-11,7.48292297878688e-11,7.48332721935359e-11,6.53722735673124e-11,6.7498148277963e-11,7.34788507926269e-11,6.78059007883483e-11,6.76590099364079e-11,6.19934413109788e-11,6.18566831490643e-11,6.43249390836392e-11,6.09629526283227e-11,6.16342871157306e-11,6.07462813217922e-11,6.00038977317397e-11,5.21926497065824e-11,5.13552872588122e-11
384,"CIV","Cote d'Ivoire",1.50117255678249e-10,1.59322829937985e-10,1.85028028681703e-10,1.86246682486947e-10,1.55814305497724e-10,1.90937623093853e-10,1.75309149315486e-10,1.80746705091852e-10,1.61277459636643e-10,1.50253685416224e-10,1.43157465096849e-10,1.593146559764e-10,1.51765812047945e-10,1.47130134579881e-10,1.21173092082061e-10,1.14955857492529e-10,1.26926934129827e-10,1.04022589149067e-10,9.92173480664497e-11,9.68716688483393e-11,9.81469147408792e-11,9.24106115960109e-11,8.97808064021025e-11
191,"HRV","Croatia",1.08414154751465e-10,9.70902725665069e-11,9.84610372651841e-11,8.97470822175349e-11,9.81451459368167e-11,8.88258467597116e-11,9.8509155971365e-11,9.91656209536688e-11,1.06767756283744e-10,7.73502748597084e-11,8.78722856989935e-11,9.17393431324571e-11,8.28675197559285e-11,7.76454445268083e-11,7.75888920938055e-11,8.19787362485181e-11,7.51984447097071e-11,7.71726990253583e-11,7.54169697869954e-11,7.27546566161827e-11,8.18753070293624e-11,7.04636925623292e-11,6.48953994411718e-11
192,"CUB","Cuba",2.20683139589511e-10,2.19285738178549e-10,1.98855400472159e-10,1.81302276096021e-10,1.76273664178296e-10,1.48678127030748e-10,1.4535203004042e-10,1.34601563182917e-10,1.29279354466193e-10,1.15375771503425e-10,1.1688683056556e-10,1.15336577587292e-10,1.11167013076813e-10,1.11285529393062e-10,1.13191031305092e-10,1.06183826089138e-10,1.03456350591395e-10,1.01617289251467e-10,9.79834424603166e-11,9.81435019728346e-11,1.02338366121859e-10,1.0340365588956e-10,1.00836484420656e-10
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",5.68583705470199e-11,5.7220911850866e-11,5.80065473199931e-11,5.73143093777006e-11,5.23132394493316e-11,4.80973042258896e-11,4.59321417608294e-11,4.37040779503383e-11,4.09076533993081e-11,4.2712443976151e-11,4.30147671931654e-11,4.18982426599893e-11,4.27465317495266e-11,4.12542633235466e-11,4.12943271768801e-11,4.23181044620489e-11,3.9707875424561e-11,3.84632675619953e-11,3.66937187339141e-11,3.50427259200031e-11,3.72131598023423e-11,3.51627972923078e-11,3.37923327487058e-11
203,"CZE","Czech Republic",9.29195150653923e-11,9.43432708799482e-11,7.98289692206504e-11,7.77873770980831e-11,7.55888400342977e-11,6.99408553569408e-11,6.430045452845e-11,6.14795930052138e-11,5.73649692570875e-11,5.92909320986398e-11,5.73113106441168e-11,5.85614654408246e-11,6.21313818510076e-11,6.15948253944813e-11,6.10611935774248e-11,6.16095654672028e-11,6.11077611574065e-11,5.51871190157673e-11,5.18167680185701e-11,4.86927222698172e-11,4.86253052816648e-11,4.92932234733353e-11,4.6969262002107e-11
180,"COD","Dem. Rep. Congo",9.7167587626012e-10,1.05888090849504e-09,1.27799446597402e-09,1.32196748523539e-09,1.32306895957357e-09,1.22549994027083e-09,1.19473339042469e-09,1.00500975236689e-09,9.95382545453705e-10,9.65836247800653e-10,9.37524090299722e-10,8.33692129282823e-10,7.59759756155566e-10,7.46469841626015e-10,6.75310668423938e-10,6.55019903466538e-10,6.43278800180289e-10,6.37553373884229e-10,5.68524072607671e-10,5.61434565613678e-10,5.60109579690746e-10,5.36150977546444e-10,5.01139889478423e-10
208,"DNK","Denmark",8.88396490556373e-11,8.58355143154395e-11,8.24127607697415e-11,8.4351979777159e-11,7.44572977095652e-11,7.16819925087088e-11,6.44988190599122e-11,6.39176548598684e-11,6.56208672521619e-11,6.6838964444572e-11,6.52567251935572e-11,6.54458282575912e-11,6.66946757208081e-11,6.50400697497393e-11,6.60462674885202e-11,6.619774831203e-11,6.4760940057655e-11,6.32970577089442e-11,5.92971527899496e-11,5.9635461484522e-11,6.1466921510296e-11,5.65584552885439e-11,5.47616725821531e-11
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7157097394498e-10,2.55494957579152e-10,2.37368063435042e-10,2.22494628496885e-10,2.13570542536612e-10,2.03838445375672e-10,1.93129180111863e-10,1.918000869556e-10,1.84120070571905e-10,1.78757350069811e-10
212,"DMA","Dominica",9.86024338235346e-11,9.95651112384146e-11,7.43780855578111e-11,7.47231001132707e-11,7.80021389631421e-11,7.88926924084076e-11,6.81631071180021e-11,7.92973966596377e-11,6.27636943880616e-11,6.25568306936785e-11,6.47328955679028e-11,6.71232506318655e-11,6.64084191074847e-11,7.09398427051471e-11,6.28833698842577e-11,7.19903920901322e-11,6.44085103368966e-11,6.73698443876267e-11,6.39892787643354e-11,6.75416134261684e-11,7.84166593463722e-11,7.38677451065427e-11,7.06835238940208e-11
214,"DOM","Dominican Republic",9.39587841683102e-11,9.78827952565652e-11,1.06090790267822e-10,1.00944193080863e-10,1.06245907013404e-10,9.80531622189723e-11,9.55856835797212e-11,9.47246142251263e-11,9.00139843642994e-11,9.09187321669866e-11,8.71477852823637e-11,8.29352259587605e-11,7.92177720679724e-11,7.55352726104146e-11,7.19173662152063e-11,7.04309309989386e-11,6.84132099122709e-11,6.64996620289574e-11,6.9065963418271e-11,6.42272641915244e-11,6.99387699242432e-11,6.08453513286768e-11,5.89472997266531e-11
218,"ECU","Ecuador",1.37917426143572e-10,1.71536376202269e-10,1.48752300868141e-10,1.42207955650796e-10,1.3702653034726e-10,1.24051960780149e-10,1.21735524668455e-10,1.12706581299249e-10,1.14018283618261e-10,1.18711360032726e-10,1.21111012645909e-10,1.13471342540189e-10,1.04584629457028e-10,9.9655174997711e-11,9.49791852753023e-11,8.65893810334023e-11,9.39637286038718e-11,9.2302583679844e-11,9.1127681829375e-11,9.26352629326797e-11,1.00458582637619e-10,9.74300818914651e-11,9.66866754521047e-11
