"code","iso","country","CHG.raw.2000","CHG.raw.2001","CHG.raw.2002","CHG.raw.2003","CHG.raw.2004","CHG.raw.2005","CHG.raw.2006","CHG.raw.2007","CHG.raw.2008","CHG.raw.2009","CHG.raw.2010","CHG.raw.2011","CHG.raw.2012","CHG.raw.2013","CHG.raw.2014","CHG.raw.2015","CHG.raw.2016","CHG.raw.2017","CHG.raw.2018","CHG.raw.2019","CHG.raw.2020","CHG.raw.2021","CHG.raw.2022"
56,"BEL","Belgium",1.36945547473973e-09,1.3141927757601e-09,1.26567732711775e-09,1.20902757655984e-09,1.17787505274922e-09,1.13467401758913e-09,1.09036957446977e-09,1.05169982210401e-09,1.03352288674316e-09,1.06271039059067e-09,1.03311884291188e-09,1.01214159679567e-09,9.78569584137286e-10,9.57365465123792e-10,9.18697021270584e-10,8.77002417685679e-10,8.46551197970103e-10,7.98203105672823e-10,7.67022791986819e-10,7.31643035950564e-10,7.44795488225563e-10,6.94089082968296e-10,6.56134093617253e-10
84,"BLZ","Belize",4.92344077834509e-09,4.91464550549833e-09,4.84875068255774e-09,4.63289133797417e-09,4.35215898567422e-09,4.36962996441045e-09,4.95701101579481e-09,5.17696075023892e-09,5.50055614903666e-09,5.7004112339099e-09,5.66422072588501e-09,6.11967600327514e-09,5.52613930708482e-09,5.5733190431359e-09,4.92600071535691e-09,4.88391352788413e-09,4.96709307209813e-09,5.11288418648852e-09,5.11657698463301e-09,4.9815480046132e-09,5.81830502421939e-09,5.10674546722143e-09,4.63068891761384e-09
204,"BEN","Benin",1.03436242502558e-08,8.87140036038352e-09,9.11760671573891e-09,8.7625424997198e-09,8.44021209584337e-09,9.12300541300839e-09,8.68349769374346e-09,8.413276906095e-09,7.93655998806025e-09,8.00290356022127e-09,8.39989184476119e-09,8.5094117366583e-09,8.30500919200271e-09,8.30372724942792e-09,7.8400271130491e-09,7.89563153501779e-09,7.91999416294786e-09,7.61248316045627e-09,7.35503218649056e-09,7.16604991250089e-09,7.04939623374135e-09,6.62499178544715e-09,6.34410113838201e-09
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",1.39976508121183e-08,1.25345501731722e-08,1.12585311565673e-08,1.05059056596546e-08,9.88010732592232e-09,1.0084727495155e-08,9.71540826234124e-09,8.31982091593504e-09,8.1516377710054e-09,7.31730332848674e-09,6.64332729611197e-09,6.26767639478299e-09,5.93111060803332e-09,6.1306486787111e-09,5.91205911366306e-09,5.59831013555472e-09,5.36649146270483e-09,5.26035960629163e-09,5.20953837070266e-09,4.97021629133773e-09,7.49908510230637e-09,5.25899619937293e-09,NA
68,"BOL","Bolivia",1.67802307450875e-08,1.59414994210587e-08,1.68177853752183e-08,1.66812287118081e-08,1.71342612124205e-08,1.72753523773844e-08,1.63048188922963e-08,1.57822016793299e-08,1.51271784849283e-08,1.45418324945411e-08,1.53500266634463e-08,1.45907124969976e-08,1.44240573341944e-08,1.41432598419614e-08,1.32901264920481e-08,1.29049476907557e-08,1.24877045963006e-08,1.18788516014144e-08,1.12957024653351e-08,1.1150296303613e-08,1.23269687990831e-08,1.18232412751279e-08,1.15708215252488e-08
70,"BIH","Bosnia and Herzegovina",4.59193767730086e-09,4.41484620886877e-09,4.17093134838027e-09,4.42347947266781e-09,4.24884528389374e-09,4.20306773339454e-09,4.28354654012923e-09,3.9192862701854e-09,3.88589413520285e-09,4.00626046533006e-09,3.89786701267227e-09,4.0563066492224e-09,3.96672876189979e-09,3.82751159202977e-09,4.54538145685009e-09,4.44862559164466e-09,4.50779263127644e-09,4.40895570246035e-09,4.43194723549771e-09,4.12725581672866e-09,4.2142489886712e-09,3.59717117532204e-09,3.42522434871732e-09
72,"BWA","Botswana",1.20233355552567e-08,1.48656245200183e-08,1.40149809254169e-08,6.40251231712996e-09,6.63174024894676e-09,7.4421303815584e-09,8.50661130924815e-09,6.71299578355037e-09,1.29316748808535e-08,7.19818237309429e-09,1.5944623861176e-08,1.84605411495505e-08,8.99809323511561e-09,7.11044101763902e-09,5.00768783106675e-09,5.199585720537e-09,4.19963052844432e-09,5.85173682201781e-09,4.55311517715039e-09,3.28125040517534e-09,5.13168860415029e-09,8.88927045312857e-09,7.83986835734749e-09
76,"BRA","Brazil",7.93989861412702e-09,8.07425552942164e-09,8.21260744195053e-09,8.49330450797034e-09,8.38373632660722e-09,8.20911934032934e-09,7.81401720113211e-09,7.36685842683813e-09,6.97287367452553e-09,6.98165743753172e-09,6.76769031916724e-09,6.47595472211178e-09,6.38630318427423e-09,6.200004056867e-09,6.26285832825306e-09,6.59048417858234e-09,6.8808251724097e-09,6.79098927680342e-09,6.63943706770711e-09,6.6236693020304e-09,6.947792921163e-09,6.74430194699255e-09,6.58496637082681e-09
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
