"code","iso","country","CDG.raw.2000","CDG.raw.2001","CDG.raw.2002","CDG.raw.2003","CDG.raw.2004","CDG.raw.2005","CDG.raw.2006","CDG.raw.2007","CDG.raw.2008","CDG.raw.2009","CDG.raw.2010","CDG.raw.2011","CDG.raw.2012","CDG.raw.2013","CDG.raw.2014","CDG.raw.2015","CDG.raw.2016","CDG.raw.2017","CDG.raw.2018","CDG.raw.2019","CDG.raw.2020","CDG.raw.2021","CDG.raw.2022"
52,"BRB","Barbados",4.25822521917431e-07,4.119643693174e-07,4.10151366272492e-07,4.11572269086436e-07,4.10785791401822e-07,4.04873484513154e-07,3.84290213698767e-07,3.82209172218899e-07,4.38622699153997e-07,4.43752139869063e-07,4.19262700457457e-07,4.44232931425863e-07,4.14419082501458e-07,4.24869853158579e-07,3.94427673843085e-07,3.84075828880669e-07,3.76215157853725e-07,3.63644520185929e-07,3.69874341056252e-07,3.7284894079187e-07,3.18319927841716e-07,3.17073609737438e-07,2.89765889764989e-07
112,"BLR","Belarus",6.83186166500083e-07,6.41631228559072e-07,6.09017452189384e-07,5.8208862518387e-07,5.52300442700937e-07,5.14003203825488e-07,4.86446410243142e-07,4.3685835015696e-07,4.13659551892735e-07,3.97994530040515e-07,3.80584178944656e-07,3.54579477227041e-07,3.55735961238777e-07,3.61100582007444e-07,3.52334282525183e-07,3.38448293157383e-07,3.43294873298252e-07,3.42002602508814e-07,3.47054377224851e-07,3.41773330355193e-07,3.27239054031837e-07,3.29631905083294e-07,3.33749621470333e-07
56,"BEL","Belgium",2.87317072616909e-07,2.82722028038131e-07,2.79734564268675e-07,2.79884056639296e-07,2.71334414418035e-07,2.58705514612544e-07,2.48742781630595e-07,2.3331712361831e-07,2.31713586954332e-07,2.12079804920852e-07,2.19258632466824e-07,1.97665901722414e-07,1.91240358534128e-07,1.90942818417482e-07,1.77570678274444e-07,1.81400745466784e-07,1.76435129642792e-07,1.72633276096893e-07,1.71154499261709e-07,1.66537123153264e-07,1.61168413804261e-07,1.59237818712754e-07,1.44454871667666e-07
84,"BLZ","Belize",1.89151902648592e-07,2.034153572335e-07,1.87175629920107e-07,1.71199985962035e-07,1.48370019653531e-07,1.56032820491863e-07,1.56975792270467e-07,1.63303969838e-07,1.51793068979644e-07,1.80672960325612e-07,1.86024060776065e-07,1.91287933574916e-07,1.50028689988104e-07,1.40027252393485e-07,1.43494094875569e-07,1.8979183964117e-07,1.85244188200277e-07,1.85132122750669e-07,1.79841731501729e-07,2.01297807689042e-07,2.01613057840489e-07,2.00292506531622e-07,1.84523141746964e-07
204,"BEN","Benin",8.65648510209135e-08,9.42435083919827e-08,1.12506727111481e-07,1.23397098327415e-07,1.28014819250172e-07,1.20818206773949e-07,1.56447976900479e-07,1.73153167470069e-07,1.64567900748343e-07,1.73376403639484e-07,1.88068744016689e-07,1.74861340458261e-07,1.63960226109596e-07,1.58638534901506e-07,1.56669875142431e-07,1.71035944750834e-07,2.01696295175313e-07,1.99986429519712e-07,2.04797609913538e-07,1.83433944837154e-07,1.92236598200236e-07,1.92553189990895e-07,1.83829807857627e-07
60,"BMU","Bermuda",1.0044478058951e-07,9.56720513449581e-08,1.02501929180445e-07,9.97733090637094e-08,1.01333760482376e-07,9.96651602754128e-08,1.05714180598322e-07,1.14360557876651e-07,1.03651778532131e-07,8.0667331823449e-08,1.05650275364029e-07,8.00045045228898e-08,6.98237859160331e-08,1.02228669762607e-07,1.33060598062163e-07,1.06062198853546e-07,1.22742122067949e-07,1.2126777265421e-07,1.33763187800568e-07,1.13702485130343e-07,9.41728997045325e-08,8.8092527032339e-08,8.6376081749331e-08
64,"BTN","Bhutan",1.65335192315115e-07,1.47734204650699e-07,1.4428611133017e-07,1.20871636594019e-07,9.33194199111173e-08,1.11824693975671e-07,1.03888828781558e-07,8.77756021136516e-08,8.984942213331e-08,7.77351524295604e-08,8.687397780313e-08,1.20739028511167e-07,1.31048429866465e-07,1.41081966608289e-07,1.49359037462415e-07,1.43908694253709e-07,1.58901822081669e-07,1.6148347650102e-07,1.72608211821243e-07,1.61104071710488e-07,1.12886636855442e-07,1.25246615104569e-07,NA
68,"BOL","Bolivia",1.84996624973878e-07,1.88597375320748e-07,2.18976905942814e-07,2.24766324639586e-07,2.1701958768143e-07,2.3195724017869e-07,2.21693963710429e-07,2.18258218224566e-07,2.09986302501716e-07,2.12143762320554e-07,2.21503537967542e-07,2.28139707738513e-07,2.38613918789016e-07,2.26406958334588e-07,2.40284170697658e-07,2.29138019281256e-07,2.34716755735253e-07,2.35150832719423e-07,2.28983650929573e-07,2.25047939698174e-07,1.99918394903578e-07,2.2336667549208e-07,2.14396763991037e-07
70,"BIH","Bosnia and Herzegovina",4.80302692807733e-07,4.53901323562391e-07,4.6181989532644e-07,4.50445738199299e-07,4.56233159987295e-07,4.55691603439194e-07,4.68410394106156e-07,4.44720189567026e-07,4.81721716235992e-07,5.11036944296055e-07,5.21665453951068e-07,5.80620935816455e-07,5.45343257189588e-07,5.24803575488102e-07,4.5957817689012e-07,4.21147746595881e-07,4.80177318578094e-07,4.74201898385632e-07,4.55048341156478e-07,4.16940539490755e-07,4.30345296788026e-07,3.8353084112726e-07,3.65401273373827e-07
72,"BWA","Botswana",1.90836806807432e-07,1.93867900520049e-07,1.88866833119117e-07,1.73694982664416e-07,1.72196760915239e-07,1.73058623335452e-07,1.6127411233134e-07,1.55957498350393e-07,1.60862033597449e-07,1.60417276724767e-07,1.71433999108493e-07,1.42478678572255e-07,1.79845359954728e-07,1.80568681136129e-07,2.06647499301884e-07,1.71878309088449e-07,1.87747162894286e-07,2.01042167865829e-07,2.04597352041932e-07,1.79464921354234e-07,1.60936712847989e-07,1.5903344244999e-07,1.82945596102183e-07
