"code","iso","country","USX.raw.1990","USX.raw.1991","USX.raw.1992","USX.raw.1993","USX.raw.1994","USX.raw.1995","USX.raw.1996","USX.raw.1997","USX.raw.1998","USX.raw.1999","USX.raw.2000","USX.raw.2001","USX.raw.2002","USX.raw.2003","USX.raw.2004","USX.raw.2005","USX.raw.2006","USX.raw.2007","USX.raw.2008","USX.raw.2009","USX.raw.2010","USX.raw.2011","USX.raw.2012","USX.raw.2013","USX.raw.2014","USX.raw.2015","USX.raw.2016","USX.raw.2017","USX.raw.2018","USX.raw.2019","USX.raw.2020","USX.raw.2021"
4,"AFG","Afghanistan",0.66946323507,0.66482578754,0.65919319998,0.65274802791,0.64800201815,0.64314267463,0.63658753489,0.6307922113,0.62571923612,0.61957245896,0.61356230572,0.60456887209,0.59205586442,0.57743409466,0.56114778831,0.54478510671,0.52888426367,0.51547455315,0.49725580873,0.47633444386,0.45328721711,0.43349109424,0.4138141067,0.39568742852,0.37682089638,0.36186763904,0.35227990823,0.34257210443,0.33283715744,0.32383435553,0.31547257935,0.30712330968
8,"ALB","Albania",0.076594926535,0.077887609572,0.079444568545,0.079544222801,0.078089405209,0.075263131069,0.071194755977,0.06796718486,0.064357328647,0.060540773624,0.056664913496,0.051061740224,0.046205983124,0.041632179,0.037363408271,0.034484997408,0.033693318162,0.033115779907,0.032778133967,0.032082736155,0.031615150913,0.030909406696,0.029392483163,0.027725454446,0.025894015003,0.024221105417,0.022950054409,0.0225405265146,0.0215684649304,0.0206459210587,0.0200278607276,0.0194575454982
12,"DZA","Algeria",0.20855318064,0.1959883994,0.18398668249,0.173090881096,0.163129909297,0.154295150431,0.144437622014,0.135875909051,0.128046992688,0.12023924137,0.112431927587,0.104611584585,0.097606220417,0.090375425375,0.083459878763,0.076994244002,0.071041201353,0.065794583814,0.059798084055,0.054321989544,0.04908668959,0.044263726866,0.040207843552,0.038131749432,0.036048836984,0.034183600596,0.032345234946,0.02983785378,0.02817050412,0.026710006659,0.025583661218,0.024509888863
20,"AND","Andorra",0.0055560347702,0.0052050425071,0.0049296115236,0.00466273932,0.004438276416,0.0042288208433,0.0040011415357,0.0037544926694,0.0035195645278,0.0032910889005,0.0030942212537,0.0029128135079,0.0026938929918,0.002563692517,0.0024453953151,0.0023384948363,0.00223169777132,0.00213186700791,0.002019976718,0.00190519933247,0.00178316473186,0.00165761203649,0.00160391478703,0.00156262305048,0.00152205576468,0.00148845028173,0.0014646790015,0.00144778140273,0.00141959638775,0.00139033194457,0.00136520500147,0.00134168904535
24,"AGO","Angola",0.70589332712,0.69870830342,0.69155192185,0.68583019146,0.68016694255,0.67469061959,0.66769437738,0.66332290219,0.65836251543,0.65337687183,0.64881756087,0.64290188288,0.63294685792,0.62293984672,0.61177090523,0.59849741499,0.5822201752,0.56447687429,0.55044795929,0.53841523295,0.5234061839,0.50537367048,0.48075388768,0.45433489384,0.42661820118,0.39984620986,0.38336380581,0.36780953073,0.35293778002,0.33841139335,0.32477311732,0.31254845052
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.26498238607,0.25837222837,0.25974504466,0.26193211269,0.26451500604,0.26760207917,0.26839573134,0.26775841984,0.26628601039,0.26377610519,0.26118544853,0.26471075394,0.24598525252,0.22858486797,0.21252878971,0.19657318841,0.18147370749,0.169474285388,0.157342382383,0.146954771397,0.138208234331,0.131190106192,0.126661923004,0.120802685602,0.11667650129,0.114225801004,0.11141708086,0.108476443855,0.10502404344,0.101217816624,0.09897252896,0.096775811428
32,"ARG","Argentina",0.30401105404,0.29132613852,0.26908660805,0.25071726588,0.23127744776,0.21240125772,0.19472812397,0.17806294952,0.16463752817,0.152254636104,0.13625583542,0.124428757125,0.108278376809,0.100315007664,0.09290279594,0.080992584265,0.071725894997,0.065542078002,0.059219421899,0.052578701246,0.046857318467,0.04411288081,0.041822987148,0.040612222333,0.03953561426,0.03645301614,0.034120433237,0.031969824629,0.030180735992,0.028695143899,0.027632421674,0.026724442539
51,"ARM","Armenia",0.161567616864,0.15681794095,0.155021161797,0.152667603038,0.150209305071,0.14690980908,0.141818127637,0.135820584383,0.130276734757,0.124462885409,0.117910131649,0.115494050274,0.112635741069,0.109636074927,0.106448765696,0.102798128605,0.100062325588,0.098314320056,0.097302676625,0.098086963418,0.099065547666,0.096582429432,0.095746420972,0.096151258211,0.097213126976,0.099073686937,0.092230223037,0.089101904639,0.086607223088,0.084353754081,0.083085302475,0.081958594824
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
