"code","iso","country","F1D.raw.1999","F1D.raw.2000","F1D.raw.2001","F1D.raw.2002","F1D.raw.2003","F1D.raw.2004","F1D.raw.2005","F1D.raw.2006","F1D.raw.2007","F1D.raw.2008","F1D.raw.2009","F1D.raw.2010","F1D.raw.2011","F1D.raw.2012","F1D.raw.2013","F1D.raw.2014","F1D.raw.2015","F1D.raw.2016","F1D.raw.2017","F1D.raw.2018","F1D.raw.2019","F1D.raw.2020","F1D.raw.2021","F1D.raw.2022"
140,"CAF","Central African Republic",100485.05344,101805.278133333,102555.018026667,103246.488106667,104975.004533333,105692.061546667,105431.429013333,103600.100746667,101521.45248,103109.857546667,101560.132106667,99457.9976,97114.97952,94529.6855466666,90838.73072,87533.47296,84676.7132266667,83017.9837866667,82321.94592,76788.2677866667,74484.8086933333,73394.06032,71399.0978133333,70019.1621333333
148,"TCD","Chad",95959.244,108445.49648,116665.411786667,124696.313546667,137240.445013333,149011.3992,156716.35152,158582.707626667,161596.897226667,169377.474506667,178974.980533333,184531.729653333,202659.491786667,226624.274613333,245352.163306667,259452.615413333,272453.122506667,284696.415146667,298829.855466667,308929.842453333,312639.947786667,314010.210506667,307363.604586667,294367.33552
152,"CHL","Chile",46305.70528,52888.81408,62447.3351466666,69778.7793066666,76756.9039466666,83015.8586666666,90564.2971199999,97303.9930666666,102686.592266667,112593.962773333,121775.2384,126700.265066667,127146.18608,131157.692053333,130836.615733333,132915.496053333,133554.2656,133893.100106667,132416.178346667,128055.395466667,122650.555786667,115309.23104,108312.652053333,99403.0009600001
156,"CHN","China",4120062.02490667,3698766.60901333,3398071.41114667,3045093.63242667,2703101.67376,2365555.95466667,1992715.43653333,1597074.45706667,1173250.63690667,798389.459413334,522856.0976,322501.664853334,196501.174933334,46224.608746667,-139416.213706667,-221703.3272,-197244.087573334,-263035.030346667,-197542.557013334,-12566.2742400008,151788.882186666,394328.009493333,640910.373013333,983284.67008
170,"COL","Colombia",861453.103786666,886585.200373333,883219.645386666,916482.58544,1021935.70533333,1036799.89381333,960744.780213334,915656.048106667,836094.24224,747235.451626667,679554.373386667,652447.85712,742167.101493334,959043.780426667,919789.08896,919364.468,944081.726506667,937677.384266667,932789.742613334,942428.32208,959949.081546667,979931.511626667,899616.9736,655669.83216
174,"COM","Comoros",1093.69178666667,1180.06448,1198.25013333333,1214.4328,1097.57562666667,979.081866666667,864.826133333334,751.083360000001,582.881333333334,445.06608,344.477066666667,237.231786666667,180.354293333333,155.9032,132.136053333333,127.568266666667,111.71536,90.75728,78.0187733333334,65.2192,49.1586666666667,23.22976,-7.29136000000002,-52.10208
184,"COK","Cook Islands",-41.1222933333333,-49.1953066666667,-57.41488,-69.2373866666667,-82.3545066666667,-95.8013866666666,-110.164266666667,-125.71184,-142.38304,-159.982453333333,-178.2536,-197.04992,-214.295146666667,-227.326773333333,-235.876106666667,-238.330986666667,-237.75696,-235.949386666667,-232.26096,-226.557333333333,-219.2904,-210.948693333333,-202.21616,-193.630186666667
188,"CRI","Costa Rica",28145.1381333333,27259.0485866667,27674.2042133333,29482.9500266667,27267.1704533333,20382.7465066667,17694.6895466667,15453.5673066667,14848.4943466667,16390.1589866667,19074.38096,16712.5787733333,12777.3694933333,10054.5656,10243.92112,13101.1327466667,15254.6853866667,15832.8890133333,16271.5797333333,14287.4870933333,11289.0893333333,11287.0374933333,12266.66896,11402.7466133333
384,"CIV","Cote d'Ivoire",1288757.54074667,1263893.14821333,1217466.98282667,1151993.44016,1090457.12197333,1022140.42522667,978642.003466666,934331.065279999,881570.808746666,826248.219306666,774102.269013333,730649.879306667,699839.486506667,692158.594453333,674354.424586667,663829.19376,648246.299466667,632383.53664,627374.103626667,624042.44064,620717.751466667,617457.011306667,612734.884746667,590804.68448
191,"HRV","Croatia",-5167.76666666667,-12957.5650133333,-26220.7442666667,-36157.0359466667,-45665.348,-55749.84848,-61165.1061333333,-65842.59296,-71043.89744,-77761.3773333333,-76190.6693866667,-73121.3365866667,-69224.5993066667,-58377.11968,-51398.1767466667,-45298.1907733333,-39198.05824,-34134.66672,-32013.6015466667,-29044.5890666667,-26727.9395733333,-24572.65264,-22623.22144,-27433.8091733333
192,"CUB","Cuba",129856.63008,120918.350933333,104334.45184,90567.7657066666,78683.2397333333,71111.0341333333,64859.8959466666,48455.96032,38080.5260266666,25761.9015466666,14679.9869866666,-4852.35733333333,-21784.8616,-31513.148,-41109.2861333333,-53903.4733866667,-64987.0856,-66762.0981866667,-69617.90528,-70572.7925333333,-69526.26864,-67821.6537066667,-62523.4608533333,-60560.49728
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",-13175.5363733333,-12684.3038933333,-12313.89792,-11184.8851733333,-10186.57952,-8814.61914666666,-8038.69386666666,-7306.13813333333,-6935.4024,-6290.63610666667,-6237.03178666666,-6253.27552,-6253.60528,-7133.42938666666,-7928.43189333333,-8131.93045333333,-8415.6584,-8115.28368,-7827.25664,-7730.19728,-7210.752,-6324.87008,-5500.98304,-4594.97354666667
203,"CZE","Czech Republic",-111859.97808,-110622.364373333,-110379.233546667,-110797.96768,-112176.69424,-114690.039466667,-117708.78464,-120927.449866667,-124173.790506667,-127762.50752,-131502.20576,-134911.11808,-137866.182933333,-144835.086506667,-150655.936746667,-155656.698293333,-158795.952426667,-160805.66864,-161899.604693333,-161898.078026667,-159461.945493333,-156021.974666667,-151809.88912,-142550.240533333
180,"COD","Dem. Rep. Congo",1913119.03029333,1974245.74992,2020754.63621333,2065768.41509333,2100441.8608,2115329.62101333,2125495.69434667,2136465.01418667,2128912.26442667,2243962.64608,2487100.87402667,2828338.56165333,3273520.57061333,3731410.02773333,4217957.26544,4658216.97130667,5032463.48837333,5410463.71237333,5787343.05770667,5988102.48458667,5990187.63034667,5941769.95882667,5829106.53882666,5691760.82709333
208,"DNK","Denmark",-13252.28496,-12873.5861333333,-12836.5186666667,-13539.0173866667,-12716.0829866667,-10507.6314133333,-8352.88186666666,-6729.53445333333,-4183.54298666667,-941.269386666671,2195.17568,6514.49429333333,9124.77674666667,12388.0694933333,15832.0462933333,15865.2054933333,16132.51872,16972.05104,16682.192,16359.3081066667,16126.87616,13384.0301866667,12928.1553066667,12086.3513066667
262,"DJI","Djibouti",371.358613333333,277.596853333333,155.561226666667,19.6634666666667,-96.3632,-197.184266666667,-270.647466666667,-312.197226666667,-333.582773333333,-346.516693333333,-346.57776,-319.3176,-250.556533333333,-150.88352,-50.2700800000001,40.8291733333332,119.11664,187.511306666667,247.57648,296.588586666667,335.891093333333,366.338933333333,390.06944,411.821386666667
212,"DMA","Dominica",287.013333333334,425.427040000001,517.564426666667,566.906293333334,562.130880000001,561.654560000001,546.461173333334,585.800320000001,549.502293333334,412.468693333334,251.97328,112.92448,27.0647466666668,-19.2970666666666,-66.1229866666666,-109.33376,-152.837653333333,-246.098666666667,-266.84912,-312.7224,-319.964906666667,-347.102933333333,-387.626773333333,-425.744586666667
214,"DOM","Dominican Republic",13246.2882133333,14120.9582933333,14481.37376,12102.5584,9846.10842666666,4530.90239999999,250.238986666663,-761.660106666674,-3321.58698666668,-3955.19029333334,-8860.74890666667,-12205.18704,-16244.38064,-16777.0285333333,-17528.13632,-17954.7846933333,-18114.0587733333,-18217.6522666667,-17617.6234133333,-18289.2468266667,-18731.0763733333,-19066.9308266667,-17935.1822933333,-17386.3517333333
218,"ECU","Ecuador",496072.208746667,476237.108106667,451740.7888,425221.220906667,426008.29696,405338.64704,384095.50784,350557.609013334,323195.296693333,305377.83872,281506.353546667,265309.153013333,276608.831306667,286990.738666667,238836.753013333,269193.42048,272974.839466667,280491.498826667,276394.340746667,260468.789173333,249328.922346667,240056.70624,211480.889333333,189767.46352
818,"EGY","Egypt",102386.37632,100807.790773333,92813.5168,80334.8365866666,71765.4733866667,63973.2079466667,59328.99024,57866.79776,55197.4149866667,54537.6385066667,52735.036,51003.09984,50126.9519466667,49782.5359466666,47073.0568,44839.92208,43679.7042666667,41960.6531733333,39761.47152,36378.4026133333,34232.9962666667,31832.3068266667,28727.73856,27706.7405333333
222,"SLV","El Salvador",46593.10944,50219.1259733333,50822.53792,52079.3632,52542.3584533333,50314.3533333333,45662.2580266667,41016.5502933333,37588.4508266667,33358.5093866667,26840.92512,18541.59872,13918.0581866667,9249.768,5701.07408,4156.13626666666,4852.50389333333,4032.45184,1596.30709333333,-214.319573333331,-2162.44394666666,-4659.09354666667,-7777.24304,-10728.4973333333
226,"GNQ","Equatorial Guinea",47419.3292266666,55926.5387733333,61573.37344,63653.0476266667,64015.9546133333,63294.79392,61283.99072,59484.3682666667,58310.61808,52904.1906666667,46430.6232533333,39112.9190933333,33669.0944533333,30275.4488,27198.9834133333,24734.78464,23500.3586133333,22420.9197866667,20404.9747733333,19405.2279466667,18468.5874133333,18828.48992,19631.5776533333,20456.5638933333
232,"ERI","Eritrea",3536.1264,4589.26992,5165.22629333333,6751.66501333334,8320.95621333333,9992.36309333334,12778.6641066667,14400.7413333333,13762.6557333333,14231.04928,13420.3770666667,13100.15568,12973.1125866667,12171.6248,11712.3912533333,11310.1695466667,11016.8907733333,11854.9208533333,12985.9976533333,13942.2405866667,15363.2863466667,17042.2777066667,18902.5515733333,20864.75792
233,"EST","Estonia",-21975.9636266666,-24612.1627733333,-27746.3605866666,-27904.14464,-28257.8183466666,-25033.3029333333,-23445.53296,-22130.4989333333,-21541.3277333333,-20247.6181866667,-18627.9347733333,-16007.3686933333,-12465.0867733333,-11107.01296,-8027.33546666667,-7397.57936000001,-5064.95482666667,-2808.77354666667,96.5830399999923,2656.72975999999,4349.24127999999,6187.86090666666,7896.59173333332,9288.99722666665
748,"SWZ","Eswatini",5579.31936,5188.9568,4713.27189333333,4263.60138666667,3826.30298666667,3536.79813333333,3139.04650666667,2786.76512,2460.15616,2155.03045333333,1843.82250666667,1329.89765333333,1089.79573333333,970.324906666667,719.02336,429.958186666666,223.931466666667,75.0997866666666,-3.65178666666678,-51.8944533333334,-76.4066133333334,-171.975946666667,-246.745973333333,-400.047733333333
231,"ETH","Ethiopia",62361.8173866667,74593.7760533334,89357.2167466667,148539.280586667,233030.412213333,316727.8848,402747.295253333,489067.007146667,560304.88896,625659.644746667,696087.391733333,765676.04608,820654.976746667,824196.709066667,795835.56592,777583.618613333,776910.1632,785237.165013333,812899.21696,841828.670933333,873829.460693333,902288.860106667,942543.970133333,983920.70384
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",27998.2728,23569.4616533333,19382.3279466667,16619.0368533333,14415.5927466667,11664.78368,9951.94917333333,8450.56410666666,7367.24144,6415.45637333333,5467.65285333333,4776.42704,4267.61957333333,3869.99008,4112.73008,3924.80352,4093.34752,3969.19898666667,3665.27018666667,3406.99482666667,3268.06816,3077.10048,2878.37733333333,2699.01232
246,"FIN","Finland",17992.6093866667,23489.1223466667,31627.0739733333,42215.58208,52594.9002133333,65464.7124266666,79119.9763199999,92302.5475733332,104396.178026667,115336.56448,122701.888426667,129587.87568,135146.16368,139148.192106667,141028.05616,140847.298826667,140207.97968,140724.261706667,141252.378453333,141234.168373333,143403.805973333,144560.95824,147259.628586667,150260.359093334
250,"FRA","France",-140304.428373333,-147808.54464,-159363.652586667,-173518.710506667,-187921.088426667,-200993.983946667,-214708.67792,-230612.96608,-244804.273173333,-259748.72768,-274107.149813333,-285030.10784,-296312.40656,-302945.541173333,-303875.806346667,-306390.556106667,-304779.886133333,-302262.534933333,-297001.995786667,-293161.464266667,-287526.696373333,-283475.924533333,-275408.529333333,-271230.86096
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",65387.08448,76387.84144,85164.3672,92716.4452266667,98786.2764800001,101212.46736,102545.967946667,102508.082186667,102500.094666667,96499.0122666667,88225.1506666667,81808.5950933334,76134.0483733334,73251.2253866667,68956.91968,64851.4931733334,66245.04672,66039.0444266667,65202.85856,63721.7720533333,62885.81824,61881.8700266667,61696.1662933333,59678.0839466667
270,"GMB","Gambia",8676.59626666667,10284.22512,11797.6891733333,13493.3273066667,14499.5716266667,15411.2114666667,15763.4928533333,16357.2196266667,18775.7771733333,20179.80976,21382.3467733333,22472.26464,23298.5210666667,23552.5584,23478.5211733333,23320.5050666667,23412.11728,23015.6480533333,20882.67488,18447.1285866667,16184.9872,14343.644,13156.0927466667,12395.4952
268,"GEO","Georgia",-38997.6496533333,-39295.3496533333,-39699.58656,-35431.7105066667,-36889.6405333333,-38283.2917866667,-39711.6289066667,-41853.4078933333,-44535.1749866667,-46807.7832,-49553.8290666667,-52383.1576533333,-54968.7447466667,-60699.1308266667,-61704.1904533333,-62399.5688,-63130.4146666667,-63068.2243733333,-63051.3944,-63389.72816,-63379.57888,-63045.6174933333,-63082.83152,-64482.9680533333
